Level,Date and Time,Source,Event ID,Task Category,Message
Error,12/19/2016 3:46:14 PM,Schannel,36888,None,A fatal alert was generated and sent to the remote endpoint. This may result in termination of the connection. The TLS protocol defined fatal error code is 10. The Windows SChannel error state is 1203.
Error,12/19/2016 3:46:14 PM,Schannel,36888,None,A fatal alert was generated and sent to the remote endpoint. This may result in termination of the connection. The TLS protocol defined fatal error code is 10. The Windows SChannel error state is 1203.
Information,12/19/2016 3:39:38 PM,Service Control Manager,7036,None,The Application Experience service entered the running state.
Information,12/19/2016 3:39:17 PM,Service Control Manager,7036,None,The Software Protection service entered the stopped state.
Information,12/19/2016 3:38:47 PM,Service Control Manager,7036,None,The Software Protection service entered the running state.
Information,12/19/2016 3:31:30 PM,Service Control Manager,7036,None,The DNS Client service entered the running state.
Information,12/19/2016 3:30:10 PM,Service Control Manager,7036,None,The Smart Card Device Enumeration Service service entered the running state.
Information,12/19/2016 3:26:39 PM,Service Control Manager,7036,None,The DNS Client service entered the stopped state.
Error,12/19/2016 3:25:35 PM,Schannel,36888,None,A fatal alert was generated and sent to the remote endpoint. This may result in termination of the connection. The TLS protocol defined fatal error code is 10. The Windows SChannel error state is 1203.
Error,12/19/2016 3:25:35 PM,Schannel,36888,None,A fatal alert was generated and sent to the remote endpoint. This may result in termination of the connection. The TLS protocol defined fatal error code is 10. The Windows SChannel error state is 1203.
Error,12/19/2016 3:23:53 PM,Schannel,36888,None,A fatal alert was generated and sent to the remote endpoint. This may result in termination of the connection. The TLS protocol defined fatal error code is 10. The Windows SChannel error state is 1203.
Error,12/19/2016 3:23:53 PM,Schannel,36888,None,A fatal alert was generated and sent to the remote endpoint. This may result in termination of the connection. The TLS protocol defined fatal error code is 10. The Windows SChannel error state is 1203.
Information,12/19/2016 3:09:17 PM,Service Control Manager,7036,None,The Software Protection service entered the stopped state.
Information,12/19/2016 3:08:47 PM,Service Control Manager,7036,None,The Software Protection service entered the running state.
Information,12/19/2016 3:03:05 PM,Service Control Manager,7036,None,The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.
Information,12/19/2016 2:45:00 PM,Service Control Manager,7036,None,The Windows Update service entered the stopped state.
Information,12/19/2016 2:39:17 PM,Service Control Manager,7036,None,The Software Protection service entered the stopped state.
Information,12/19/2016 2:38:47 PM,Service Control Manager,7036,None,The Software Protection service entered the running state.
Information,12/19/2016 2:34:59 PM,Service Control Manager,7036,None,The Windows Update service entered the running state.
Information,12/19/2016 2:25:35 PM,Service Control Manager,7036,None,The Google Update Service (gupdate) service entered the stopped state.
Information,12/19/2016 2:25:35 PM,Service Control Manager,7036,None,The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information,12/19/2016 2:25:35 PM,Service Control Manager,7036,None,The Google Update Service (gupdate) service entered the running state.
Information,12/19/2016 2:09:17 PM,Service Control Manager,7036,None,The Software Protection service entered the stopped state.
Information,12/19/2016 2:08:46 PM,Service Control Manager,7036,None,The Software Protection service entered the running state.
Information,12/19/2016 1:51:30 PM,Service Control Manager,7036,None,The DNS Client service entered the running state.
Information,12/19/2016 1:51:30 PM,Service Control Manager,7036,None,The DNS Client service entered the stopped state.
Information,12/19/2016 1:39:17 PM,Service Control Manager,7036,None,The Software Protection service entered the stopped state.
Information,12/19/2016 1:38:46 PM,Service Control Manager,7036,None,The Software Protection service entered the running state.
Information,12/19/2016 1:31:30 PM,Service Control Manager,7036,None,The DNS Client service entered the running state.
Information,12/19/2016 1:26:30 PM,Service Control Manager,7036,None,The DNS Client service entered the stopped state.
Information,12/19/2016 1:14:20 PM,Service Control Manager,7036,None,The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.
Information,12/19/2016 1:09:16 PM,Service Control Manager,7036,None,The Software Protection service entered the stopped state.
Information,12/19/2016 1:08:46 PM,Service Control Manager,7036,None,The Software Protection service entered the running state.
Information,12/19/2016 12:57:21 PM,Service Control Manager,7036,None,The Windows Update service entered the stopped state.
Information,12/19/2016 12:47:20 PM,Service Control Manager,7036,None,The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
