log_id,source,anomaly_score_norm,fusion_unsup
0,system,3.615495327959794e-11,normal
1,system,3.615495327959794e-11,normal
2,system,0.0231938014275891,anomaly
3,system,3.2168866909548164e-11,normal
4,system,3.2168866909548164e-11,normal
5,system,0.04654222817594883,anomaly
6,system,0.035080624702345346,anomaly
7,system,0.04654222817594883,anomaly
8,system,3.615495327959794e-11,normal
9,system,3.615495327959794e-11,normal
10,system,3.615495327959794e-11,normal
11,system,3.615495327959794e-11,normal
12,system,3.2168866909548164e-11,normal
13,system,3.2168866909548164e-11,normal
14,system,0.03653023729988222,anomaly
15,system,0.022266049355128395,anomaly
16,system,3.2168866909548164e-11,normal
17,system,3.2168866909548164e-11,normal
18,system,0.022266049355128395,anomaly
19,system,0.056244968423578456,anomaly
20,system,0.07537985462184689,anomaly
21,system,0.056244968423578456,anomaly
22,system,3.2168866909548164e-11,normal
23,system,3.2168866909548164e-11,normal
24,system,0.016235661012717284,anomaly
25,system,0.016235661012717284,anomaly
26,system,3.2168866909548164e-11,normal
27,system,3.2168866909548164e-11,normal
28,system,0.016235661012717284,anomaly
29,system,0.016235661012717284,anomaly
30,system,0.07885892483366246,anomaly
31,system,3.2168866909548164e-11,normal
32,system,3.2168866909548164e-11,normal
33,system,0.0197920438746573,anomaly
34,system,0.10477799783710307,anomaly
35,system,0.0197920438746573,anomaly
36,system,3.2168866909548164e-11,normal
37,system,3.2168866909548164e-11,normal
38,system,0.024121553499009553,anomaly
39,system,0.024121553499009553,anomaly
40,system,0.09573241528458147,anomaly
41,system,3.2168866909548164e-11,normal
42,system,3.2168866909548164e-11,normal
43,system,3.9612528842679384e-11,normal
44,system,3.9612528842679384e-11,normal
45,system,7.266573680580248e-11,normal
46,system,0.05317178972544246,anomaly
47,system,0.05317178972544246,anomaly
48,system,0.05560713887932241,anomaly
49,system,0.01113302469191108,anomaly
50,system,3.2168866909548164e-11,normal
51,system,3.2168866909548164e-11,normal
52,system,0.01113302469191108,anomaly
53,system,0.01113302469191108,anomaly
54,system,3.2168866909548164e-11,normal
55,system,3.2168866909548164e-11,normal
56,system,0.05560713887932241,anomaly
57,system,0.01113302469191108,anomaly
58,system,1.234895368214119e-10,normal
59,system,0.015075971018953005,anomaly
60,system,0.015075971018953005,anomaly
