log_id,label
0,BENIGN
1,BENIGN
2,DoS slowloris
3,DDoS
4,DDoS
5,BENIGN
6,PortScan
7,DDoS
8,BENIGN
9,DoS Slowhttptest
10,BENIGN
11,BENIGN
12,DDoS
13,BENIGN
14,PortScan
15,BENIGN
16,DDoS
17,DoS Hulk
18,BENIGN
19,DDoS
20,PortScan
21,BENIGN
22,DDoS
23,BENIGN
24,DDoS
25,PortScan
26,PortScan
27,DoS Hulk
28,DDoS
29,DDoS
30,DoS Hulk
31,FTP-Patator
32,BENIGN
33,DoS GoldenEye
34,BENIGN
35,BENIGN
36,DoS Hulk
37,DoS GoldenEye
38,BENIGN
39,PortScan
40,DDoS
41,BENIGN
42,PortScan
43,PortScan
44,BENIGN
45,DDoS
46,DDoS
47,BENIGN
48,BENIGN
49,DDoS
50,BENIGN
51,DoS GoldenEye
52,DDoS
53,BENIGN
54,BENIGN
55,PortScan
56,DDoS
57,DoS Hulk
58,BENIGN
59,PortScan
60,BENIGN
61,DoS Hulk
62,DoS Hulk
63,BENIGN
64,BENIGN
65,BENIGN
66,DoS Hulk
67,BENIGN
68,DDoS
69,BENIGN
70,BENIGN
71,PortScan
72,BENIGN
73,DoS Hulk
74,PortScan
75,PortScan
76,DDoS
77,BENIGN
78,BENIGN
79,BENIGN
80,DoS slowloris
81,BENIGN
82,BENIGN
83,SSH-Patator
84,BENIGN
85,DDoS
86,DoS Hulk
87,BENIGN
88,BENIGN
89,DoS Hulk
90,DDoS
91,DDoS
92,DoS Hulk
93,DoS Hulk
94,BENIGN
95,DDoS
96,BENIGN
97,BENIGN
98,BENIGN
99,BENIGN
100,PortScan
101,DDoS
102,BENIGN
103,DDoS
104,BENIGN
105,BENIGN
106,DDoS
107,PortScan
108,BENIGN
109,DDoS
110,DDoS
111,DoS Hulk
112,PortScan
113,BENIGN
114,DoS Hulk
115,DDoS
116,BENIGN
117,BENIGN
118,DDoS
119,BENIGN
120,BENIGN
121,DoS Hulk
122,DDoS
123,DDoS
124,BENIGN
125,DDoS
126,DDoS
127,BENIGN
128,Bot
129,BENIGN
130,BENIGN
131,DoS Hulk
132,DDoS
133,BENIGN
134,DDoS
135,PortScan
136,DoS Hulk
137,DDoS
138,SSH-Patator
139,DDoS
140,BENIGN
141,DDoS
142,BENIGN
143,BENIGN
144,BENIGN
145,BENIGN
146,BENIGN
147,BENIGN
148,PortScan
149,DoS Hulk
150,BENIGN
151,DoS Hulk
152,BENIGN
153,PortScan
154,DoS Hulk
155,DDoS
156,BENIGN
157,BENIGN
158,DDoS
159,DoS Hulk
160,BENIGN
161,DoS GoldenEye
