log_id,source,model,pred_label,attack_type,proba_attack
0,network,1d_cnn,benign,BENIGN,0.0
1,network,1d_cnn,benign,BENIGN,0.0
2,network,1d_cnn,attack,DoS slowloris,1.0
3,network,1d_cnn,attack,DDoS,1.0
4,network,1d_cnn,attack,DDoS,1.0
5,network,1d_cnn,benign,BENIGN,0.0
6,network,1d_cnn,attack,PortScan,1.0
7,network,1d_cnn,attack,DDoS,1.0
8,network,1d_cnn,benign,BENIGN,0.0
9,network,1d_cnn,attack,DoS Slowhttptest,1.0
10,network,1d_cnn,benign,BENIGN,0.0
11,network,1d_cnn,benign,BENIGN,0.0
12,network,1d_cnn,attack,DDoS,1.0
13,network,1d_cnn,benign,BENIGN,0.0
14,network,1d_cnn,attack,PortScan,1.0
15,network,1d_cnn,benign,BENIGN,0.0
16,network,1d_cnn,attack,DDoS,1.0
17,network,1d_cnn,attack,DoS Hulk,1.0
18,network,1d_cnn,benign,BENIGN,0.0
19,network,1d_cnn,attack,DDoS,1.0
20,network,1d_cnn,attack,PortScan,1.0
21,network,1d_cnn,benign,BENIGN,0.0
22,network,1d_cnn,attack,DDoS,1.0
23,network,1d_cnn,benign,BENIGN,0.0
24,network,1d_cnn,attack,DDoS,1.0
25,network,1d_cnn,attack,PortScan,1.0
26,network,1d_cnn,attack,PortScan,1.0
27,network,1d_cnn,attack,DoS Hulk,1.0
28,network,1d_cnn,attack,DDoS,1.0
29,network,1d_cnn,attack,DDoS,1.0
30,network,1d_cnn,attack,DoS Hulk,1.0
31,network,1d_cnn,attack,FTP-Patator,1.0
32,network,1d_cnn,benign,BENIGN,0.0
33,network,1d_cnn,attack,DoS GoldenEye,1.0
34,network,1d_cnn,benign,BENIGN,0.0
35,network,1d_cnn,benign,BENIGN,0.0
36,network,1d_cnn,attack,DoS Hulk,1.0
37,network,1d_cnn,attack,DoS GoldenEye,1.0
38,network,1d_cnn,benign,BENIGN,0.0
39,network,1d_cnn,attack,PortScan,1.0
40,network,1d_cnn,attack,DDoS,1.0
41,network,1d_cnn,benign,BENIGN,0.0
42,network,1d_cnn,attack,PortScan,1.0
43,network,1d_cnn,attack,PortScan,1.0
44,network,1d_cnn,benign,BENIGN,0.0
45,network,1d_cnn,attack,DDoS,1.0
46,network,1d_cnn,attack,DDoS,1.0
47,network,1d_cnn,benign,BENIGN,0.0
48,network,1d_cnn,benign,BENIGN,0.0
49,network,1d_cnn,attack,DDoS,1.0
50,network,1d_cnn,benign,BENIGN,0.0
51,network,1d_cnn,attack,DoS GoldenEye,1.0
52,network,1d_cnn,attack,DDoS,1.0
53,network,1d_cnn,benign,BENIGN,0.0
54,network,1d_cnn,benign,BENIGN,0.0
55,network,1d_cnn,attack,PortScan,1.0
56,network,1d_cnn,attack,DDoS,1.0
57,network,1d_cnn,attack,DoS Hulk,1.0
58,network,1d_cnn,benign,BENIGN,0.0
59,network,1d_cnn,attack,PortScan,1.0
