log_id,source,model,pred_label,proba_attack
0,tcp,xgboost,benign,0.0
1,tcp,xgboost,attack,1.0
2,tcp,xgboost,attack,1.0
3,tcp,xgboost,benign,0.0
4,tcp,xgboost,benign,0.0
5,tcp,xgboost,attack,1.0
6,tcp,xgboost,benign,0.0
7,tcp,xgboost,benign,0.0
8,tcp,xgboost,attack,1.0
9,tcp,xgboost,attack,1.0
10,tcp,xgboost,attack,1.0
11,tcp,xgboost,attack,1.0
12,tcp,xgboost,benign,0.0
13,tcp,xgboost,attack,1.0
14,tcp,xgboost,attack,1.0
15,tcp,xgboost,attack,1.0
16,tcp,xgboost,attack,1.0
17,tcp,xgboost,attack,1.0
18,tcp,xgboost,benign,0.0
19,tcp,xgboost,benign,0.0
20,tcp,xgboost,benign,0.0
21,tcp,xgboost,attack,1.0
22,tcp,xgboost,attack,1.0
23,tcp,xgboost,attack,1.0
24,tcp,xgboost,benign,0.0
25,tcp,xgboost,attack,1.0
26,tcp,xgboost,benign,0.0
27,tcp,xgboost,benign,0.0
28,tcp,xgboost,benign,0.0
29,tcp,xgboost,benign,0.0
30,tcp,xgboost,attack,1.0
31,tcp,xgboost,attack,1.0
32,tcp,xgboost,attack,1.0
33,tcp,xgboost,attack,1.0
34,tcp,xgboost,benign,0.0
35,tcp,xgboost,attack,1.0
36,tcp,xgboost,benign,0.0
37,tcp,xgboost,benign,0.0
38,tcp,xgboost,attack,1.0
39,tcp,xgboost,benign,0.0
40,tcp,xgboost,attack,1.0
41,tcp,xgboost,attack,1.0
42,tcp,xgboost,benign,0.0
43,tcp,xgboost,attack,1.0
44,tcp,xgboost,attack,1.0
45,tcp,xgboost,benign,0.0
46,tcp,xgboost,benign,0.0
47,tcp,xgboost,attack,1.0
48,tcp,xgboost,benign,0.0
49,tcp,xgboost,benign,0.0
50,tcp,xgboost,attack,1.0
51,tcp,xgboost,benign,0.0
52,tcp,xgboost,attack,1.0
53,tcp,xgboost,attack,1.0
54,tcp,xgboost,attack,1.0
55,tcp,xgboost,benign,0.0
56,tcp,xgboost,attack,1.0
57,tcp,xgboost,benign,0.0
58,tcp,xgboost,benign,0.0
59,tcp,xgboost,benign,0.0
60,tcp,xgboost,benign,0.0
61,tcp,xgboost,benign,0.0
62,tcp,xgboost,benign,0.0
63,tcp,xgboost,attack,1.0
64,tcp,xgboost,attack,1.0
65,tcp,xgboost,attack,1.0
66,tcp,xgboost,benign,0.0
67,tcp,xgboost,benign,0.0
68,tcp,xgboost,attack,1.0
69,tcp,xgboost,benign,0.0
70,tcp,xgboost,benign,0.0
71,tcp,xgboost,benign,0.0
72,tcp,xgboost,attack,1.0
73,tcp,xgboost,attack,1.0
74,tcp,xgboost,attack,1.0
75,tcp,xgboost,attack,1.0
76,tcp,xgboost,attack,1.0
77,tcp,xgboost,benign,0.0
78,tcp,xgboost,benign,0.0
79,tcp,xgboost,benign,0.0
80,tcp,xgboost,attack,1.0
81,tcp,xgboost,benign,0.0
82,tcp,xgboost,attack,1.0
83,tcp,xgboost,benign,0.0
84,tcp,xgboost,attack,1.0
85,tcp,xgboost,benign,0.0
86,tcp,xgboost,attack,1.0
87,tcp,xgboost,attack,1.0
88,tcp,xgboost,attack,1.0
89,tcp,xgboost,benign,0.0
90,tcp,xgboost,attack,1.0
91,tcp,xgboost,benign,0.0
92,tcp,xgboost,attack,1.0
93,tcp,xgboost,attack,1.0
94,tcp,xgboost,benign,0.0
95,tcp,xgboost,benign,0.0
96,tcp,xgboost,benign,0.0
97,tcp,xgboost,attack,1.0
98,tcp,xgboost,attack,1.0
99,tcp,xgboost,attack,1.0
100,tcp,xgboost,benign,0.0
101,tcp,xgboost,attack,1.0
102,tcp,xgboost,benign,0.0
103,tcp,xgboost,benign,0.0
104,tcp,xgboost,attack,1.0
105,tcp,xgboost,benign,0.0
106,tcp,xgboost,attack,1.0
107,tcp,xgboost,benign,0.0
108,tcp,xgboost,attack,1.0
109,tcp,xgboost,attack,1.0
110,tcp,xgboost,attack,1.0
111,tcp,xgboost,attack,1.0
112,tcp,xgboost,benign,0.0
113,tcp,xgboost,attack,1.0
114,tcp,xgboost,attack,1.0
115,tcp,xgboost,attack,1.0
116,tcp,xgboost,attack,1.0
117,tcp,xgboost,benign,0.0
118,tcp,xgboost,benign,0.0
119,tcp,xgboost,attack,1.0
120,tcp,xgboost,attack,1.0
121,tcp,xgboost,attack,1.0
122,tcp,xgboost,benign,0.0
123,tcp,xgboost,attack,1.0
124,tcp,xgboost,attack,1.0
125,tcp,xgboost,benign,0.0
126,tcp,xgboost,attack,1.0
127,tcp,xgboost,benign,0.0
128,tcp,xgboost,attack,1.0
129,tcp,xgboost,attack,1.0
130,tcp,xgboost,attack,1.0
131,tcp,xgboost,attack,1.0
132,tcp,xgboost,attack,1.0
133,tcp,xgboost,attack,1.0
134,tcp,xgboost,benign,0.0
135,tcp,xgboost,attack,1.0
136,tcp,xgboost,benign,0.0
137,tcp,xgboost,attack,1.0
138,tcp,xgboost,benign,0.0
139,tcp,xgboost,benign,0.0
140,tcp,xgboost,attack,1.0
141,tcp,xgboost,benign,0.0
142,tcp,xgboost,attack,1.0
143,tcp,xgboost,attack,1.0
144,tcp,xgboost,benign,0.0
145,tcp,xgboost,attack,1.0
146,tcp,xgboost,benign,0.0
147,tcp,xgboost,benign,0.0
148,tcp,xgboost,attack,1.0
149,tcp,xgboost,attack,1.0
150,tcp,xgboost,benign,0.0
151,tcp,xgboost,attack,1.0
152,tcp,xgboost,benign,0.0
153,tcp,xgboost,attack,1.0
154,tcp,xgboost,attack,1.0
155,tcp,xgboost,benign,0.0
156,tcp,xgboost,attack,1.0
157,tcp,xgboost,attack,1.0
158,tcp,xgboost,benign,0.0
159,tcp,xgboost,benign,0.0
160,tcp,xgboost,benign,0.0
161,tcp,xgboost,attack,1.0
162,tcp,xgboost,attack,1.0
163,tcp,xgboost,attack,1.0
164,tcp,xgboost,benign,0.0
165,tcp,xgboost,benign,0.0
166,tcp,xgboost,attack,1.0
167,tcp,xgboost,benign,0.0
168,tcp,xgboost,attack,1.0
169,tcp,xgboost,benign,0.0
170,tcp,xgboost,benign,0.0
171,tcp,xgboost,attack,1.0
172,tcp,xgboost,attack,1.0
173,tcp,xgboost,attack,1.0
174,tcp,xgboost,benign,0.0
175,tcp,xgboost,attack,1.0
176,tcp,xgboost,attack,1.0
177,tcp,xgboost,benign,0.0
178,tcp,xgboost,attack,1.0
179,tcp,xgboost,benign,0.0
180,tcp,xgboost,attack,1.0
181,tcp,xgboost,attack,1.0
182,tcp,xgboost,attack,1.0
183,tcp,xgboost,benign,0.0
184,tcp,xgboost,attack,1.0
185,tcp,xgboost,benign,0.0
186,tcp,xgboost,benign,0.0
187,tcp,xgboost,benign,0.0
188,tcp,xgboost,benign,0.0
189,tcp,xgboost,benign,0.0
