source_ip,nb_logs_touches,logs_touches,nb_alertes,nb_high,score_moyen,risque_global,danger
172.16.1.24,1,['tcp'],7921,6095,2.769473551319278,3051.77,🟢 FAIBLE
172.16.1.28,1,['tcp'],6133,5148,2.83939344529594,2578.34,🟢 FAIBLE
192.168.0.10,1,['tcp'],6467,4754,2.7351167465594557,2381.24,🟢 FAIBLE
142.104.64.196,1,['tcp'],2256,1247,2.5527482269503547,627.55,🟢 FAIBLE
172.16.1.27,1,['tcp'],1591,695,2.4368321810182274,351.44,🟢 FAIBLE
134.87.157.129,1,['tcp'],850,442,2.52,225.02,🟢 FAIBLE
134.87.154.134,1,['tcp'],650,211,2.3246153846153845,109.32,🟢 FAIBLE
206.12.48.43,1,['tcp'],199,32,2.1608040201005023,19.66,🟢 FAIBLE
172.16.1.23,1,['tcp'],131,19,2.145038167938931,13.15,🟢 FAIBLE
172.16.1.26,1,['tcp'],11,5,2.4545454545454546,6.45,🟢 FAIBLE
222.124.18.147,1,['tcp'],3,2,2.6666666666666665,5.17,🟢 FAIBLE
192.168.203.193,1,['auth'],1,1,3.0,5.0,🟢 FAIBLE
192.168.199.215,1,['auth'],1,1,3.0,5.0,🟢 FAIBLE
192.168.16.160,1,['auth'],1,1,3.0,5.0,🟢 FAIBLE
221.194.44.224,1,['tcp'],1,1,3.0,5.0,🟢 FAIBLE
221.194.47.229,1,['tcp'],1,1,3.0,5.0,🟢 FAIBLE
41.215.184.163,1,['tcp'],1,1,3.0,5.0,🟢 FAIBLE
122.194.229.39,1,['tcp'],2,1,2.5,4.5,🟢 FAIBLE
172.16.1.19,1,['tcp'],776,2,2.002577319587629,4.5,🟢 FAIBLE
172.16.1.21,1,['tcp'],15,1,2.066666666666667,4.07,🟢 FAIBLE
172.16.1.20,1,['tcp'],593,1,2.0016863406408096,4.0,🟢 FAIBLE
169.254.169.254,1,['tcp'],1,0,2.0,3.5,🟢 FAIBLE
121.18.238.114,1,['tcp'],1,0,2.0,3.5,🟢 FAIBLE
142.104.6.1,1,['tcp'],2,0,2.0,3.5,🟢 FAIBLE
192.168.14.56,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.14.243,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.134.13,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.131.252,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.129.231,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.125.7,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.10.72,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.1.142,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.18.66,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.212.122,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.216.188,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.150.156,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.154.0,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.172.16,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.175.23,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.145.206,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.25.160,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.237.69,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.230.231,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.229.254,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.225.52,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.38.88,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.5.25,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.43.73,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.98.90,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.95.78,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.90.93,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.85.158,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
192.168.61.22,1,['auth'],1,0,2.0,3.5,🟢 FAIBLE
221.194.47.249,1,['tcp'],1,0,2.0,3.5,🟢 FAIBLE
91.197.234.22,1,['tcp'],2,0,2.0,3.5,🟢 FAIBLE
93.190.142.60,1,['tcp'],2,0,2.0,3.5,🟢 FAIBLE
